1, 246
19, 0
52, 0
73, 504
77, 621
34, 1004
98, 1022
91, 815
29, 489
63, 794
37, 667
8, 81
15, 77
61, 467
48, 0
78, 963
60, 193
65, 554
38, 611
9, 80
96, 359
12, 73
66, 957
84, 246
28, 606
85, 316
97, 666
13, 76
82, 904
59, 0
54, 584
53, 0
99, 696
71, 699
6, 99
16, 456
72, 944
69, 970
67, 436
43, 233
33, 369
17, 478
22, 0
47, 589
39, 1023
75, 990
21, 315
2, 157
32, 441
83, 613
26, 743
5, 109
44, 109
55, 412
89, 368
46, 148
35, 380
93, 488
45, 0
87, 795
92, 272
58, 214
41, 1020
23, 625
68, 602
42, 984
36, 886
7, 84
80, 429
30, 112
88, 241
64, 320
20, 275
4, 124
94, 1018
57, 246
24, 6
51, 0
31, 871
100, 397
